Week,microsoft: (United States),msft: (United States)
4/2/2017,54,1
4/9/2017,54,1
4/16/2017,55,1
4/23/2017,55,2
4/30/2017,59,1
5/7/2017,57,1
5/14/2017,59,1
5/21/2017,55,1
5/28/2017,51,1
6/4/2017,52,1
6/11/2017,57,1
6/18/2017,51,1
6/25/2017,51,1
7/2/2017,48,1
7/9/2017,55,1
7/16/2017,52,3
7/23/2017,55,2
7/30/2017,56,1
8/6/2017,54,1
8/13/2017,55,1
8/20/2017,57,1
8/27/2017,60,1
9/3/2017,57,1
9/10/2017,58,1
9/17/2017,62,1
9/24/2017,60,1
10/1/2017,57,1
10/8/2017,55,1
10/15/2017,58,1
10/22/2017,55,2
10/29/2017,55,2
11/5/2017,56,1
11/12/2017,58,1
11/19/2017,55,1
11/26/2017,62,1
12/3/2017,58,1
12/10/2017,57,1
12/17/2017,52,1
12/24/2017,49,1
12/31/2017,52,1
1/7/2018,59,2
1/14/2018,57,1
1/21/2018,60,2
1/28/2018,59,4
2/4/2018,57,3
2/11/2018,55,1
2/18/2018,55,1
2/25/2018,57,1
3/4/2018,55,2
3/11/2018,54,1
3/18/2018,57,2
3/25/2018,57,2
4/1/2018,54,2
4/8/2018,55,2
4/15/2018,56,2
4/22/2018,54,3
4/29/2018,53,2
5/6/2018,55,2
5/13/2018,52,2
5/20/2018,53,1
5/27/2018,48,2
6/3/2018,58,3
6/10/2018,57,2
6/17/2018,51,2
6/24/2018,50,2
7/1/2018,45,1
7/8/2018,52,2
7/15/2018,55,4
7/22/2018,53,3
7/29/2018,54,2
8/5/2018,56,2
8/12/2018,58,2
8/19/2018,60,2
8/26/2018,60,2
9/2/2018,59,2
9/9/2018,58,2
9/16/2018,58,2
9/23/2018,58,2
9/30/2018,59,2
10/7/2018,56,3
10/14/2018,57,2
10/21/2018,55,4
10/28/2018,56,3
11/4/2018,51,2
11/11/2018,55,2
11/18/2018,51,2
11/25/2018,59,2
12/2/2018,56,2
12/9/2018,54,2
12/16/2018,51,2
12/23/2018,44,2
12/30/2018,45,2
1/6/2019,55,2
1/13/2019,56,2
1/20/2019,57,1
1/27/2019,57,3
2/3/2019,56,2
2/10/2019,56,1
2/17/2019,52,2
2/24/2019,54,2
3/3/2019,54,1
3/10/2019,49,2
3/17/2019,51,2
3/24/2019,51,2
3/31/2019,51,1
4/7/2019,50,2
4/14/2019,49,2
4/21/2019,52,4
4/28/2019,52,3
5/5/2019,52,2
5/12/2019,53,2
5/19/2019,50,2
5/26/2019,47,1
6/2/2019,50,2
6/9/2019,59,2
6/16/2019,53,2
6/23/2019,53,2
6/30/2019,44,2
7/7/2019,53,2
7/14/2019,55,4
7/21/2019,51,3
7/28/2019,52,2
8/4/2019,52,3
8/11/2019,59,3
8/18/2019,59,2
8/25/2019,59,2
9/1/2019,58,2
9/8/2019,61,2
9/15/2019,62,2
9/22/2019,60,2
9/29/2019,65,2
10/6/2019,58,2
10/13/2019,57,2
10/20/2019,61,4
10/27/2019,57,3
11/3/2019,59,2
11/10/2019,57,3
11/17/2019,58,2
11/24/2019,52,2
12/1/2019,61,2
12/8/2019,60,2
12/15/2019,54,2
12/22/2019,48,2
12/29/2019,46,2
1/5/2020,58,3
1/12/2020,64,3
1/19/2020,59,2
1/26/2020,61,5
2/2/2020,63,5
2/9/2020,62,6
2/16/2020,61,4
2/23/2020,61,7
3/1/2020,59,6
3/8/2020,64,7
3/15/2020,87,8
3/22/2020,92,6
3/29/2020,89,6
4/5/2020,82,5
4/12/2020,86,5
4/19/2020,80,4
4/26/2020,79,6
5/3/2020,75,4
5/10/2020,73,4
5/17/2020,71,4
5/24/2020,65,3
5/31/2020,65,3
6/7/2020,68,5
6/14/2020,67,4
6/21/2020,69,5
6/28/2020,62,4
7/5/2020,68,5
7/12/2020,71,5
7/19/2020,70,9
7/26/2020,74,6
8/2/2020,82,8
8/9/2020,85,5
8/16/2020,100,4
8/23/2020,98,5
8/30/2020,94,6
9/6/2020,87,5
9/13/2020,85,4
9/20/2020,94,5
9/27/2020,82,3
10/4/2020,72,3
10/11/2020,69,4
10/18/2020,69,3
10/25/2020,68,6
11/1/2020,53,3
11/8/2020,71,4
11/15/2020,72,3
11/22/2020,59,3
11/29/2020,71,3
12/6/2020,66,3
12/13/2020,65,3
12/20/2020,53,3
12/27/2020,53,2
1/3/2021,63,3
1/10/2021,64,3
1/17/2021,62,3
1/24/2021,70,6
1/31/2021,67,4
2/7/2021,66,3
2/14/2021,62,2
2/21/2021,69,3
2/28/2021,67,3
3/7/2021,66,3
3/14/2021,67,3
3/21/2021,63,3
3/28/2021,58,3
4/4/2021,59,3
4/11/2021,63,3
4/18/2021,62,3
4/25/2021,63,5
